STT,Văn bản
11,Nếu chưa có kiến thức về lập trình thì có thể tham gia CLB không ? Đa số mọi người đều xuất phát từ con số 0 nên bạn cũng không cần lo lắng quá. Khi bạn vào CLB các anh chị sẽ tận tình chỉ dạy và nếu bạn cố gắng thì khả năng code của bạn sẽ ngày càng được cải thiện.
12,"Tham gia CLB ngoài học tập còn có hoạt động gì khác không ? Ngoài việc học tập trong CLB các bạn sẽ được tham gia các sự kiện, hoạt động ngoại khóa vô cùng thú vị trong và ngoài CLB. Và sau này các bạn sẽ được học hỏi và góp phần vào việc trực tiếp tổ chức các sự kiện lớn nhỏ của CLB mình. Chi tiết bạn có thể tham khảo thêm tại mục Sự kiện của Website này nhé."
13,"Tại sao lại có 2 CLB CNTT, sự khác biệt giữa 2 CLB là gì ? ProPTIT và IT PTIT đều là 2 CLB học thuật. Tuy có những hướng đi riêng nhưng cùng chung một mục đích hỗ trợ sinh viên trên con đường học tập. Mỗi hướng đi mà CLB chọn đều tạo nên những màu sắc đặc trưng riêng."
14,"Có được tham gia nhiều CLB không ? Tham gia bao nhiêu CLB là hoàn toàn phụ thuộc vào lựa chọn của các bạn, nhưng để đảm bảo cân đối giữa việc học ở trường cũng như tham gia hoạt động tại CLB thì các bạn nên cân nhắc đến khả năng và thời gian mình có hoặc có thể tự trải nghiệm để đưa ra quyết định của mình nhé."
15,"Tiêu chuẩn để đánh giá trong vòng training là gì ạ, em code không được giỏi thì em có vào clb được không ạ ? Trong vòng training, các anh chị sẽ đánh giá em về nhiều mặt khác nhau, bao gồm cả mảng học tập, hoạt động và cách giao tiếp giữa em với các thành viên CLB khác. Việc code chỉ là 1 phần trong số đó, em cố gắng thể hiện hết mình là được nhé, mọi nỗ lực em làm đều sẽ được anh chị ghi nhận và đánh giá. Anh chị đánh giá rất cao sự tiến bộ của các em trong quá trình training."
16,"Quá trình hoạt động của clb trong suốt thời gian học đại học là như nào ạ ? CLB Lập Trình sẽ dạy cho các em rất nhiều những khóa học có liên quan tới những học phần trên trường như là C,C++,OOP,... và cao hơn nữa là các em sẽ được học các team dự án, đây là những kiến thức rất quan trọng, có thể áp dụng trực tiếp vào công việc của các em mai sau. Bên cạnh đó, CLB còn có rất nhiều những sự kiện, hoạt động, như là cuộc thi làm game, làm app, hay những sự kiện vui chơi giải trí như Biggame, camping trip,... và cũng có rất nhiều những contest ngắn dài để em có thể củng cố kiến thức và đánh giá bản thân sau mỗi khóa học nhé."
17,"Anh ơi, anh có thể mô tả rõ cho em về môi trường hoạt động trong CLB như nào không ạ ? Môi trường làm việc của CLB rất năng động, chuyên nghiệp, và liên tục đổi mới nha bạn. Bạn sẽ được gặp mặt và quen biết với nhiều bạn bè mới, được nói chuyện và học tập cùng các bạn và anh chị đều là những người rất tài năng trong trường. Ngoài ra, CLB hoạt động theo hình thức khoá trên dạy khoá dưới, các khoá sau khi ra trường đều sẽ quay lại đóng góp cho CLB."
18,Chị ơi em thích thiết kế nhưng cũng thích cả code thì có thể tham gia clb không ạ ? Mặc dù là CLB về lập trình nhưng ngoài lập trình ra em còn có rất nhiều cơ hội để phát triển những khía cạnh khác của bản thân nhé. Chị thấy nếu em thích và có năng khiếu về thiết kế thì là một lợi ích và là một điều tốt. Sẽ có rất nhiều sự kiện và có các ban để em phát triển khía cạnh này.
19,"Những cựu tv câu lạc bộ đã có ai đạt được những thành tựu hay thành tích gì nổi bật chưa? Giờ họ đang làm gì, ở vị trí nào trong những công ty, tập đoàn lớn ? Anh Bách là thành viên khóa D16, tham gia siêu trí tuệ Anh Sơn có 1 công ty Super Game ở tòa Skyline Em có thể quét mã hoặc vào trang web để hiểu rõ hơn."
20,"CLB tuyển thành viên dựa trên những tiêu chí gì vậy ạ ? CLB lựa chọn thành viên dựa trên nhiều yếu tốt, cả học tập, hoạt động và cách tương tác giữa các thành viên với nhau. Anh chị sẽ đánh giá và cân nhắc trên các khía cạnh này để đưa ra quyết định lựa chọn thành viên phù hợp nhất."
21,"Tham gia clb có chiếm nhiều thời gian không ạ ? Vào CLB em sẽ được tham gia học theo lộ trình các anh chị đưa ra và có các sự kiện hoạt động nên việc em phải bỏ thời gian là điều không thể tránh khỏi. Nhưng nếu em sắp xếp thời gian hợp lí thì vẫn có thời gian cho việc khác như về quê, làm thêm,... mà không ảnh hưởng gì nhé. Các anh chị đang hđ trong CLB và vẫn làm rất tốt điều này."
22,"theo em thấy thì trường mình có 2 clb về IT, em có nên đăng ký training và nếu pass thì có thể tham gia cả 2 cùng 1 lúc được không ạ ? Em hoàn toàn có thể thử sức với cả 2 CLB trong quá trình training để lựa chọn ra CLB phù hợp với bản thân mình nhất. Tuy nhiên, theo anh chị thời gian học đại học em cần phải chia thời gian cho nhiều hoạt động khác nhau, nên nếu em không sắp xếp được thời gian thì sẽ ảnh hưởng tới sức khỏe và chất lượng cuộc sống nhé. Vì vậy em nên cân nhắc vấn đề này"
23,"Em tham gia khá nhiều clb, em sợ sẽ k thể thu xếp được thời gian để tham gia các buổi gặp hay big game training, điều đó có ảnh hưởng đến kết quả training không ạ ? CLB sẽ đánh giá các bạn trên các tiêu chí học tập và hoạt động, vì thế nếu thiếu một trong hai sẽ là bất lợi cho em. Anh chị cũng luôn cố gắng sắp xếp hoạt động dựa trên lịch bận của mọi người, do đó em nên xem xét và sắp xếp thời gian của mình hợp lý hơn."
24,"Nếu em không học ngành cntt thì có thể tham gia clb mình được không ạ ? Chỉ cần em có đam mê với lập trình và lòng nhiệt huyết, sự cố gắng là hoàn toàn có thể nhé."
25,"Vào CLB có khó không ạ ? Việc vào một CLB dễ dàng hay khó khăn đều nằm ở bản thân em, em chỉ cần có tâm huyết và thể hiện hết mình trong cả 3 vòng cv, phỏng vấn và training, mọi việc em làm đều sẽ được các anh chị ghi nhận và đánh giá xem em có thực sự phù hợp với CLB không nhé."
26,"CLB có tuyển sinh viên năm 2 trở đi không ạ ? Không bạn nhé, hiện tại CLB chỉ tuyển sinh viên năm nhất."
27,Các sinh viên lớn hơn năm nhất có sự chênh lệch về kiến thức và thời gian hoạt động. Vì vậy việc định hướng và hoạt động sẽ không phù hợp với lộ trình đào tạo của clb.
28,"Anh ơi cho em hỏi định hướng của clb mình là gì và tại sao em nên đăng kí vào clb mình ạ ? Mục tiêu của clb là chia sẻ để cùng nhau phát triển, khi em tham gia clb, em sẽ đc dạy các kiến thức, phục vụ cho các môn trên trường, đồng thời em cũng sẽ được tham gia vào các sự kiện, hoạt động ngoại khóa, hoàn thiện cả kĩ năng cứng và kĩ năng mềm. "
29,"em muốn tham gia cả 2 CLB là IT PTIT và ProPTIT có đc k ạ ? Hoàn toàn được nha em, tuy nhiên lịch sinh hoạt và học tập của 2 CLB khá là nặng nên em có thể tham gia training cả 2 bên và đưa ra lựa chọn phù hợp cho mình."
30,"clb có mấy vòng tuyển thành viên và đó là những vòng nào ạ ? 3 vòng gồm : vòng xét CV (online), phỏng vấn (offline) và training 1 tháng nhé"
31,"nếu em vào được tới vòng training thì mình train bao nhiêu buổi 1 tuần ạ, và học ở đâu vậy ạ ? Tuỳ vào kế hoạch của ban đào tạo, lịch học sẽ được dựa trên lịch bận của các em, như năm của bọn anh là 2 buổi/tuần."
32,"Nếu em chỉ muốn vào học mà không tham gia hoạt động thì có được không ạ ? Tiêu trí đánh giá và lựa chọn thành viên của CLB dựa theo cả 2 tiêu trí là hoạt động và học tập. Trong quá trình hoạt động, ngoài các khoá học, CLB còn rất nhiều hoạt động khác bên lề nhằm gắn kết các thành viên trong CLB như BigGame, Picnic,... vì vậy việc tham gia các hoạt động của CLB là rất cần thiết."
33,"theo em được giới thiệu qua thì CLB mình khá nặng về học thuật ạ. Nhưng nếu em tham gia mà em chỉ muốn kết bạn và tham gia các sự kiện thôi không tham gia các hoạt động học tập có được không ạ ? Tiêu trí đánh giá và lựa chọn thành viên của CLB dựa theo cả 2 tiêu trí là hoạt động và học tập. Trong quá trình hoạt động, ngoài các khoá học, CLB còn rất nhiều hoạt động khác bên lề nhằm gắn kết các thành viên trong CLB như BigGame, Picnic,..."
34,"học lập trình có cần giỏi toán không ạ ? Toán cũng là 1 lợi thế, tuy nhiên không giỏi cũng không sao."
35,"Nếu em học khoa học máy tính thì em có phù hợp với định hướng của CLB không ạ ? Theo anh biết thì trong 3 năm đầu, chương trình học của CNTT và KHMT khá là tương tự nhau, lúc này lộ trình đào tạo của CLB vẫn rất phù hợp với chương trình trên trường của em. Sau đó em nếu em thích thì hoàn toàn có thể tự tạo ra 1 team dự án mới cho CLB theo đúng chuyên ngành mình đang theo "
36,"Em lần đầu tham gia clb nên em không biết là clb mình so với 1 lớp học code bình thường thì có gì khác ạ? Ở CLB ngoài việc em được học những kiến thức mới thì CLB cũng sẽ tổ chức các cuộc thi em có thể biết mình thiếu kiến thức ở mảng nào, ngoài ra cũng có rất nhiều hoạt động em có thể gặp gỡ những người mới, và giải tỏa căng thẳng sau những khóa học."
37,"em chưa biết gì về lập trình thì có thể tham gia clb không ạ ? Hoàn toàn được nha em, đa số mọi người đều bắt đầu từ con số 0, các em sẽ được các anh chị tận tình chỉ dạy từ đó nâng cao khả năng của mình nha."
38,"em tham gia nhiều hơn 1 clb có sao không ạ ? Được nha em, tuy nhiên các CLB sẽ có thời gian hoạt động khác nhau nên cần em chủ động sắp xếp thời gian của mình nha."
39,"em sẽ Được gì khi tham gia clb mình ạ ? CLB mang lại cho em nhiều kiến thức bổ ích phục vụ cho học tập và cả công việc sau này, làm quen được nhiều anh chị, bạn bè mở rộng mối quan hệ, được tham gia các cuộc thi, các hoạt động, các chuyến đi chơi tăng tình đoàn kết gắn bó, cũng như phát triển nhiều kĩ năng mềm cần thiết. Và còn rất nhiều những kỉ niệm đáng nhớ…"
40,"em là sinh viên năm nhất trường ngoài PTIT em có được đăng ký trở thành thành viên clb đc ko ạ ? Hoàn toàn được nha em, CLB luôn hoan nghênh các bạn có niềm đam mê với lập trình."
41,"Chị ơi hiện tại em chưa có laptop thì có thể tham gia vòng training không ạ ? Trong vòng training thì anh chị sẽ cố gắng hỗ trợ các em về mặt laptop nhiều nhất có thể, tuy nhiên là để việc học tập thuận tiện hơn, em nên mua máy tính sớm nha."
42,"em có tham gia thêm 1 CLB nữa, vậy việc tham gia CLB của mình có ảnh hưởng nhiều đến thời gian không ạ ? Thời gian học tập sẽ được các anh chị sắp xếp để phù hợp với lịch học của tất cả các thành viên (có thể sẽ có một số buổi cuối tuần). Các em sẽ không bị trùng với lịch học trên trường. Ngoài ra các hoạt động ngoại khóa khác các anh chị cũng sẽ sắp xếp thời gian phù hợp nhất, có nhiều thành viên có thể tham gia nhất. Em cần chủ động tự sắp xếp thời gian để cân đối việc hoạt động của cả 2 CLB và tránh ảnh hưởng tới sức khoẻ nha "
43,"Em có học trước về c/c++ e có thể học vượt lên được k ạ ? Hoạt động đào tạo c/c++ là vừa để học, vừa để thành viên mới làm quen nhau, làm quen với CLB nên bỏ qua thì không được đâu nha, ngoài ra em có thể giúp đỡ các bạn khác trong quá trình học tập, CLB luôn khuyến khích mọi người hỏi và giúp đỡ nhau "
44,"Em đã biết trước về …, liệu em có được ưu tiên trở thành thành viên chính thức được không ạ ? Không được em nhé. Vì anh chị không chỉ đánh giá về khả năng lập trình của e mà còn đánh giá qua nhiều yếu tố khác như hoạt động của e với mọi người như thế nào.ví dụ như phương châm của CLB là chia sẻ để cùng nhau phát triển, nếu e vào clb mà không nói chuyện với ai, chỉ học 1 mình, không giúp đỡ đc ai thì sẽ không được chấp nhận. Biết trước về blah blah là điều tốt nhưng chốt lại là chưa đủ để e có thể vào được CLB , có nhiều bạn tuy học lực không được tốt nhưng rất nhiệt tình giúp đỡ mọi người trong CLB sẽ được đánh giá rất cao nha"
45,"Anh chị ơi, CLB mình sẽ tuyển bao nhiêu người thế ạ ? CLB sẽ tuyển tầm 25 bạn nhé em, con số này có thể du di lên xuống 1-2 bạn tuỳ theo chất lượng training mỗi năm."
46,"Tại sao CLB không tuyển nhiều người hơn ạ ? CLB lựa chọn tuyển ít nhưng chất lượng luôn được đặt lên hàng đầu, CLB luôn đặt sự gán kết giữa các thành viên với nhau lên trước vì vậy thành viên tuy ít nhưng sự gắn kết là bền chặt, ""Muốn đi nhanh hay đi một mình, muốn đi xa hãy đi cùng nhau"" là châm ngôn của CLB"
47,"Vì sao clb mình lại tuyển ít như vậy, anh chị có thể tuyển nhiều hơn được không ạ? Theo em thấy trên tiêu trí hoạt động là giúp đỡ các bạn sinh viên đam mê với lập trình, tại sao lại tuyển ít như vậy ? CLB đặt sự gắn kết các thành viên lên hàng đầu và thiên về chất lượng hơn số lượng. Việc quá đông thành viên sẽ gây khó khăn trong việc đào tạo, quản lý cũng như là việc gắn kết giữa các thành viên. Các bạn hoàn toàn có thể follow page clb để học tập được nhiều hơn, ngoài ra các thành viên CLB luôn sẵn sàng giúp đỡ các sv khác trong trường khi được hỏi."
48, Các thầy cô ưu ái it hay pro hơn thế ạ ? Ở CLB 2 năm mình chưa thấy các thầy cô ưu ái bên nào hơn cả. 
49,"sao clb mình không trực thuộc khoa cntt ? CLB cũng giống một số CLB khác hiện đang trực thuộc Đoàn thanh niên Học Viện, tuy nhiên CLB vẫn luôn hỗ trợ Khoa khi cần ví dụ một số kì thi của Khoa, CLB mình cũng có các đội thi tham gia, bạn có biết kỳ thi ICPC của trường không?"
50,"Tham gia CLB có mất phí không ạ ? Khi trở thành thành viên chính thức, CLB cũng có một khoản thu nhỏ hàng tháng gọi là quỹ để duy trì CLB nhé em."
51,Tại sao CLB mình lại thu phí hàng tháng đắt hơn các CLB khác ? a/c không biết quỹ của clb khác như nào tuy nhiên thì những chi phí này dùng để tổ chức các sự cho các e.
52,"Vì sao CLB lại day C trong quá trình training mà không phải ngôn ngữ khác ? Lộ trình học của clb bám sát với trên trường, giúp em có nền tảng trước khi học môn trên trường. C cũng là ngôn ngữ được recommend nhiều khi bắt đầu học lập trình."
53,"CLB mình sẽ hoạt động mấy buổi 1 tuần ạ ? Thường sẽ là 1-2 buổi 1 tuần, chủ yếu là các khoá học của CLB. Nếu có việc gì gấp sẽ báo trước với mọi người, lịch sẽ được lên phù hợp với lịch học của mọi người."
54,"Em thấy bên IT có vẻ như nghiêng về đao tạo nhiêu hơn Pro có phải không ạ ? Hai CLB có những lộ trình đào tạo riêng. Đối với CLB chúng mình, chúng mình cân bằng giữa việc học tập và hoạt động ngoại khóa nhằm đảm bảo tình thần đoàn kết giữa các thành viên và kiến thức lập trình."
55,Tại sao trong cùng khoa lại có 2 CLB cùng mục đích giống nhau là Pro và IT? Ở IT em có quyền lợi gì và ở Pro em có quyền lợi gì? Tại sao lại phải tách làm 2 CLB ạ ? Dù chung 1 mục đích là hỗ trợ sinh viên trên con đường học tập nhưng mỗi CLB đều có hướng đi riêng tạo nên những màu sắc đặc trưng riêng. Về quyền lợi khi tham gia ITPTIT em nên đặt câu hỏi với thành viên trong CLB để có thể nhận được câu trả lời chính xác và đầy đủ nhất (hoặc tự tham gia training để trải nghiệm). Còn khi tham gia ProPTIT em sẽ có những lợi thế về các môn chuyên ngành trên trường. CLB sẽ giúp các em định hướng phát triển các kỹ năng lập trình. Bên cạnh đó CLB còn tổ chức các hoạt động ngoại khóa để các thành viên gắn kết hơn. Ngoài ra khi tham gia vào các CLB em sẽ có cơ hội được cộng 0.1 điểm khuyến khích học bổng (Đây sẽ là 1 lợi thế rất lớn khi xét học bổng tại Học Viện vào cuối kì em nhé).
56,"Khi trở thành thành viên chính thức, bọn em cần phải có nghĩa vụ gì đối với CLB ạ ? Khi trở thành thành viên chính thức của CLB, em cần theo lộ trình học tập clb, tham gia nhiệt tình các hoạt động trong CLB, duy trình truyền thống CLB đó là các anh chị khoá trên sẽ dạy các em khoá dưới và quay lại giúp đỡ CLB những khi cần. "
57,Lộ trình học tại CLB:
58,"TRAINING: Trong quá trình training, các bạn sẽ được đào tạo và sử dụng thành thạo về ngôn ngữ C. Ngôn ngữ C là một ngôn ngữ phổ biến, cú pháp tường minh, dễ sử dụng đối với những người bắt đầu với lập trình. Và điều đặc biệt cho các PTITER là ngôn ngữ C sẽ được học vào kỳ 2 năm nhất, cho nên bạn sẽ có lợi thế khi mà tham gia khoá training này."
59,"Kì 1 năm nhất:  Ngôn ngữ C++ đóng một vai trò quan trọng trong việc học lập trình. Nắm bắt được tầm quan trọng đó Câu lạc bộ đã xây dựng lên khóa học Lập trình với C++ để cung cấp một lượng kiến thức về ngôn ngữ C++ nói riêng, và các khái niệm khác trong lập trình nói chung cho các thành viên trong CLB."
60,"Kì 2 năm nhất: Trong kì II năm nhất, các thành viên học thêm về cấu trúc dữ liệu và giải thuật. Khóa học kéo dài trong hai tháng bao gồm các vấn đề như: Sắp xếp và tìm kiếm, các phương pháp sinh, chia để trị, quy hoạch động, đồ thị,... sẽ trang bị cho thành viên Câu lạc bộ những kiến thức cơ bản và nâng cao trong bộ môn cấu trúc dữ liệu và giải thuật."
61,"Kì 1 năm hai: Trong vòng 1 tháng các thành viên sẽ được làm quen với lập trình hướng đối tượng sử dụng ngôn ngữ C++. Khóa học kết thúc bằng cuộc thi làm Game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình."
62,"Kì 2 năm hai: Khóa học kéo dài trong 1 tháng sẽ giúp mọi người có được tư duy lập trình hướng đối tượng. Bên cạnh đó mọi người còn học ngôn ngữ Java, một ngôn ngữ lập trình hướng đối tượng, để có thể tự viết cho mình một ứng dụng bằng Java đơn giản qua cuộc thi ProGAPP."
63,"TEAM dự án: Trong CLB, có các team dự án như: Team AI, Team Mobile, Team Web, Team Game,... Mỗi team dự án có một hướng phát triển và học tập riêng về mảng team hướng đến. Với phương châm ""Chia sẻ để cùng nhau phát triển"", team dự án sẽ luôn gắn bó cùng nhau ở cả hiện tại cũng như tương lai sau này."
64,MỘT VÀI SẢN PHẨM:
65,"GAME C++ CỦA KHOÁ D20: C++ là một trong những ngôn ngữ lập trình khá nổi tiếng, nó là bản nâng cấp của ngôn ngữ ngữ lập trình C khi có thêm OOP (Object Oriented Programming - Lập trình hướng đối tượng). Trong vòng 1 tháng các thành viên sẽ được làm quen với lập trình hướng đối tượng sử dụng ngôn ngữ C++. Khóa học kết thúc bằng cuộc thi làm Game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình."
66,"APP JAVA CỦA KHOÁ D21: Lập trình hướng đối tượng là một trong nhữ kỹ thuật lập trình rất quan trọng và được sử dụng nhiều hiện nay. Trong khóa học khoảng 1 tháng sẽ giúp mọi người có được tư duy lập trình hướng đối tượng. Bên cạnh đó mọi người còn học ngôn ngữ Java, một ngôn ngữ lập trình hướng đối tượng, để có thể tự viết cho mình một ứng dụng bằng Java đơn giản qua cuộc thi ProGAPP vào cuối khóa."
67,"SẢN PHẨM CỦA TEAM GAME: Đây là store game của team Game. Team đã lập lên store này với mục đích chia sẻ những sản phẩm mà team làm ra đến với mọi người và cũng là để học hỏi lẫn nhau. Trong store có rất nhiều game hay và thú vị, mọi người hãy cài đặt và thưởng thức nha."
68,"CLB thường xuyên có các sự kiện lớn nhỏ, được tổ chức giúp gắn kết các thành viên trong CLB cũng như mở rộng các mối quan hệ bên ngoài CLB. Các sự kiện tổ chức ra cũng là để mọi người giải trí sau những giờ học trên trường cũng như ở CLB."
69,Sự kiện nội bộ của CLB:
70,"Biggame training là sự kiện thường niên được tổ chức với quy mô lớn nhất diễn ra vào cuối mỗi kì training ProPTIT. Với sự tham gia đông đảo của các anh chị, các bạn và các thành viên training, sự kiện giúp các thành viên training được giao lưu làm quen với nhau và tạo được nhiều dấu ấn, kỷ niệm khó quên trong lòng mỗi người."
71,"SPOJ TOURNAMENT là một cuộc thi lập trình nội bộ thường niên của CLB Lập Trình PTIT. Đến với cuộc thi, các thí sinh sẽ phải trải qua một cuộc đua gấp rút và phải hoàn thành mục tiêu - số lượng bài đã được đặt ra trước đó trong thời gian sớm nhất có thể. Đây là một cuộc thi quan trọng giúp các thành viên có thể rèn luyện kỹ năng, học thêm nhiều kiến thức mới để dần hoàn thiện tư duy cũng như tăng tốc độ code của mình."
72,"PROCWAR Là một cuộc thi được tổ chức nhằm nâng cao tư duy thuật toán cho các thành viên của CLB Lập Trình PTIT. Mỗi thành viên sẽ chuẩn bị problems và solutions của từng bài sau đó sẽ được tổng hợp thành một contest chung. Người chơi nào giải quyết được nhiều problems nhất sẽ là người giành chiến thắng. Chính vì sự thú vị của cuộc thi, PROCWAR luôn được các thành viên trong CLB tham gia nồng nhiệt."
73,"Các chuyến dã ngoại được tổ chức giúp thành viên CLB được thư giãn sau những ngày học tập và hoạt động căng thẳng. Sự kiện này là dịp gắn kết mọi người, rút ngắn khoảng cách giữa các thành viên, tạo điều kiện để các thành viên có dịp chia sẻ với nhau về cuộc sống, học tập."
74,"Được khởi xướng bởi anh Triệu Khương Duy khóa D15, Game C++ đã trở thành 1 cuộc thi hằng năm của CLB. Mỗi một sản phẩm đều là một thử thách, đòi hỏi các thành viên phải nắm được những kiến thức mình đã học về hướng đối tượng, các thuật toán,... và vận dụng vào sản phẩm của mình một cách tốt nhất. Tiếp nối thành công từ những anh chị khóa trước, Game C++ hứa hẹn sẽ tiếp tục là một cuộc thi thú vị, ngày càng có nhiều sản phẩm chất lượng."
75,"PAMA-CUP là cuộc thi sử dụng ngôn ngữ lập trình C++. Với input là các thông số của trò chơi, người chơi phải áp dụng các thuật toán, giải thuật đồ thị để đưa ra hướng đi cho Pacman và Ghost trong tựa game Pacman nổi tiếng. Đây là một cuộc rượt đuổi kịch tính, hài hước nhưng không kém phần cạnh tranh và quyết liệt giữa các thành viên trong CLB."
76,"Sinh nhật là một bữa tiệc không thể thiếu đối với mỗi CLB hằng năm và hẳn là CLB Lập Trình PTIT cũng không phải ngoại lệ. Vào sinh nhật, các thành viên CLB có dịp được ngồi lại trò chuyện với nhau, hiểu thêm về truyền thống và con đường mà CLB Lập Trình PTIT đã trải qua. Từ đó, các thành viên sẽ tổng kết những việc đã làm được trong một năm và đề ra kế hoạch, đặt ra các mục tiêu để CLB luôn luôn phát triển."
77,ProGApp là một cuộc thi lập trình Ứng Dụng và Game bằng Java thường niên dành cho thành viên từng khóa của CLB Lập Trình PTIT. Cuộc thi yêu cầu các thành viên hoàn thành một sản phẩm từ việc sử dụng ngôn ngữ lập trình Java và áp dụng các kiến thức về lập trình hướng đối tượng. Đã có rất nhiều sản phẩm vô cùng chất lượng và sáng tạo được tạo ra bới chính các thành viên CLB từ cuộc thi này
78,"PROPTIT MARATHON “Có sức khỏe là có tất cả” Hưởng ứng tinh thần trên, tất cả các thành viên của CLB Lập Trình PTIT tham gia cuộc thi chạy Marathon. Cuộc thi đã tạo ra không khí lành mạnh sau những giờ làm việc và học tập căng thẳng, đồng thời nâng cao tinh thần thể dục thể thao của các thành viên đang hoạt động trong CLB."
79,Sự kiện đối ngoại của CLB:
80,"Code Battle là cuộc thi được tổ chức nhằm mục đích phát huy tinh thần học tập và là cơ hội cho sinh viên được giao lưu. Do các câu lạc bộ đến từ các trường đại học khu vực Hà Nội: Đại học Thăng Long, FPT và Học viện Bưu chính Viễn thông,... đồng tổ chức."
